# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "genome/GCA_001949185.1_Rvar_4.0_genomic.gtf" "-o" "counts/gene_counts.txt" "bam/SRR13696355.bam" "bam/SRR13696356.bam" "bam/SRR13696357.bam" "bam/SRR13696379.bam" "bam/SRR13696380.bam" "bam/SRR13696381.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR13696355.bam	bam/SRR13696356.bam	bam/SRR13696357.bam	bam/SRR13696379.bam	bam/SRR13696380.bam	bam/SRR13696381.bam
RvY_t0001	BDGG01000001.1	443104	443176	+	73	0	0	0	0	0	0
RvY_t0002	BDGG01000001.1	468837	468908	+	72	0	0	0	0	0	0
RvY_t0003	BDGG01000001.1;BDGG01000001.1	1764652;1764702	1764688;1764737	+;+	73	0	0	0	0	0	0
RvY_r0001	BDGG01000001.1	1908331	1908451	-	121	1	7	0	0	0	0
RvY_t0004	BDGG01000001.1	2282898	2282979	-	82	5	1	0	0	0	0
RvY_r0002	BDGG01000001.1	2356047	2356161	-	115	5	0	0	0	0	0
RvY_r0003	BDGG01000001.1	2410614	2410728	-	115	0	0	0	0	0	0
RvY_r0004	BDGG01000001.1	2418110	2418224	-	115	22	12	0	0	3	0
RvY_r0005	BDGG01000001.1	2530911	2531025	+	115	0	0	0	0	0	0
RvY_t0005	BDGG01000001.1	2759467	2759547	+	81	0	0	0	0	0	0
RvY_r0006	BDGG01000001.1	2851776	2851890	+	115	8	3	0	0	0	0
RvY_t0006	BDGG01000001.1	2979582	2979655	+	74	0	1	0	0	0	0
RvY_t0007	BDGG01000001.1	2980779	2980871	-	93	0	0	0	0	0	0
RvY_r0007	BDGG01000001.1	3161627	3161744	+	118	0	2	0	0	4	0
RvY_r0008	BDGG01000001.1	3361484	3361598	-	115	6	0	0	1	0	0
RvY_t0008	BDGG01000001.1	5393790	5393861	-	72	0	0	0	0	0	0
RvY_t0009	BDGG01000001.1	7409601	7409673	+	73	1	0	0	0	0	0
RvY_t0010	BDGG01000001.1	8431592	8431663	-	72	0	0	0	0	0	0
RvY_t0011	BDGG01000002.1	111293	111375	-	83	0	0	0	0	0	0
RvY_t0012	BDGG01000002.1	182808	182881	+	74	0	0	0	0	0	0
RvY_t0013	BDGG01000002.1	419235	419305	-	71	0	0	0	0	0	0
RvY_t0014	BDGG01000002.1	721955	722026	-	72	5	0	0	0	0	0
RvY_t0015	BDGG01000002.1	2131254	2131326	+	73	0	1	0	0	0	0
RvY_t0016	BDGG01000002.1	3016366	3016436	+	71	0	0	0	0	0	0
RvY_t0017	BDGG01000002.1	3017187	3017257	-	71	0	0	0	0	0	0
RvY_t0018	BDGG01000002.1	3528050	3528121	+	72	0	1	0	0	0	0
RvY_t0019	BDGG01000002.1	3528282	3528354	-	73	4	3	0	0	0	0
RvY_t0020	BDGG01000002.1	4204878	4204950	+	73	0	0	0	0	0	0
RvY_t0021	BDGG01000002.1	5671074	5671145	+	72	0	0	0	0	0	0
RvY_t0022	BDGG01000002.1;BDGG01000002.1	6108933;6108982	6108968;6109017	+;+	72	0	0	0	0	0	0
RvY_t0023	BDGG01000002.1;BDGG01000002.1	7173992;7174059	7174037;7174096	-;-	84	0	0	0	0	0	0
RvY_t0024	BDGG01000002.1	7301325	7301405	+	81	0	0	0	0	0	0
RvY_t0025	BDGG01000002.1	8284754	8284826	+	73	0	0	0	0	0	0
RvY_t0026	BDGG01000003.1	19786	19858	-	73	0	0	0	0	0	0
RvY_t0027	BDGG01000003.1	608358	608430	-	73	0	0	0	0	0	0
RvY_r0009	BDGG01000003.1	1993083	1993200	+	118	3	5	0	0	0	0
RvY_t0028	BDGG01000003.1	2054362	2054433	-	72	1	0	0	0	0	0
RvY_t0029	BDGG01000003.1	3266818	3266890	-	73	0	0	0	0	0	0
RvY_t0030	BDGG01000003.1	3353621	3353702	+	82	0	0	0	0	0	0
RvY_t0031	BDGG01000003.1;BDGG01000003.1	3372449;3372496	3372485;3372541	+;+	83	0	0	0	0	0	0
RvY_t0032	BDGG01000003.1	3386089	3386160	-	72	0	0	0	0	0	0
RvY_t0033	BDGG01000003.1	3805925	3805996	+	72	0	0	0	0	0	0
RvY_t0034	BDGG01000003.1	4075944	4076024	-	81	0	0	0	0	0	0
RvY_t0035	BDGG01000003.1	4262180	4262253	-	74	0	0	0	0	0	0
RvY_t0036	BDGG01000003.1	4676566	4676646	+	81	1	0	0	0	0	0
